id	lipid	formula	adduct	template_file
Lipid00275	PA(12:0_12:0)	C27H53O8P	NA	NA
Lipid00276	PC(22:0_22:0)	C52H104NO8P	NA	NA
Lipid00277	PC(20:5_22:0)	C50H90NO8P	NA	NA
Lipid00278	PC(20:4_22:0)	C50H92NO8P	NA	NA
Lipid00279	PC(20:3_22:0)	C50H94NO8P	NA	NA
Lipid00280	PC(20:2_22:0)	C50H96NO8P	NA	NA
Lipid00281	PC(20:1_22:0)	C50H98NO8P	NA	NA
Lipid00282	PC(20:0_22:0)	C50H100NO8P	NA	NA
Lipid00283	PC(19:1_22:0)	C49H96NO8P	NA	NA
Lipid00284	PC(19:0_22:0)	C49H98NO8P	NA	NA
Lipid00285	PC(20:4_20:5)	C48H78NO8P	NA	NA
Lipid00286	PC(20:3_20:5)	C48H80NO8P	NA	NA
Lipid00287	PC(20:4_20:4)	C48H80NO8P	NA	NA
Lipid00288	PC(20:2_20:5)	C48H82NO8P	NA	NA
Lipid00289	PC(20:3_20:4)	C48H82NO8P	NA	NA
Lipid00290	PC(20:1_20:5)	C48H84NO8P	NA	NA
Lipid00291	PC(20:2_20:4)	C48H84NO8P	NA	NA
Lipid00292	PC(20:3_20:3)	C48H84NO8P	NA	NA
Lipid00293	PC(20:0_20:5)	C48H86NO8P	NA	NA
Lipid00294	PC(20:1_20:4)	C48H86NO8P	NA	NA
Lipid00295	PC(20:2_20:3)	C48H86NO8P	NA	NA
Lipid00296	PC(18:4_22:0)	C48H88NO8P	NA	NA
Lipid00297	PC(20:0_20:4)	C48H88NO8P	NA	NA
Lipid00298	PC(20:1_20:3)	C48H88NO8P	NA	NA
Lipid00299	PC(20:2_20:2)	C48H88NO8P	NA	NA
Lipid00300	PC(18:3_22:0)	C48H90NO8P	NA	NA
Lipid00301	PC(20:0_20:3)	C48H90NO8P	NA	NA
Lipid00302	PC(20:1_20:2)	C48H90NO8P	NA	NA
Lipid00303	PC(18:2_22:0)	C48H92NO8P	NA	NA
Lipid00304	PC(20:0_20:2)	C48H92NO8P	NA	NA
Lipid00305	PC(20:1_20:1)	C48H92NO8P	NA	NA
Lipid00306	PC(20:5_20:5)	C48H76NO8P	NA	NA
Lipid00307	PC(18:1_22:0)	C48H94NO8P	NA	NA
Lipid00308	PC(20:0_20:1)	C48H94NO8P	NA	NA
Lipid00309	PC(18:0_22:0)	C48H96NO8P	NA	NA
Lipid00310	PC(20:0_20:0)	C48H96NO8P	NA	NA
Lipid00311	PC(19:1_20:5)	C47H82NO8P	NA	NA
Lipid00312	PC(19:0_20:5)	C47H84NO8P	NA	NA
Lipid00313	PC(19:1_20:4)	C47H84NO8P	NA	NA
Lipid00314	PC(19:0_20:4)	C47H86NO8P	NA	NA
Lipid00315	PC(19:1_20:3)	C47H86NO8P	NA	NA
Lipid00316	PC(19:0_20:3)	C47H88NO8P	NA	NA
Lipid00317	PC(19:1_20:2)	C47H88NO8P	NA	NA
Lipid00318	PC(19:0_20:2)	C47H90NO8P	NA	NA
Lipid00319	PC(19:1_20:1)	C47H90NO8P	NA	NA
Lipid00320	PC(17:1_22:0)	C47H92NO8P	NA	NA
Lipid00321	PC(19:0_20:1)	C47H92NO8P	NA	NA
Lipid00322	PC(19:1_20:0)	C47H92NO8P	NA	NA
Lipid00323	PC(17:0_22:0)	C47H94NO8P	NA	NA
Lipid00324	PC(19:0_20:0)	C47H94NO8P	NA	NA
Lipid00325	PC(18:4_20:5)	C46H74NO8P	NA	NA
Lipid00326	PC(18:4_20:4)	C46H76NO8P	NA	NA
Lipid00327	PC(18:3_20:5)	C46H76NO8P	NA	NA
Lipid00328	PC(18:4_20:3)	C46H78NO8P	NA	NA
Lipid00329	PC(18:3_20:4)	C46H78NO8P	NA	NA
Lipid00330	PC(18:2_20:5)	C46H78NO8P	NA	NA
Lipid00331	PC(18:4_20:2)	C46H80NO8P	NA	NA
Lipid00332	PC(18:3_20:3)	C46H80NO8P	NA	NA
Lipid00333	PC(18:2_20:4)	C46H80NO8P	NA	NA
Lipid00334	PC(18:1_20:5)	C46H80NO8P	NA	NA
Lipid00335	PC(18:4_20:1)	C46H82NO8P	NA	NA
Lipid00336	PC(18:3_20:2)	C46H82NO8P	NA	NA
Lipid00337	PC(18:2_20:3)	C46H82NO8P	NA	NA
Lipid00338	PC(18:1_20:4)	C46H82NO8P	NA	NA
Lipid00339	PC(18:0_20:5)	C46H82NO8P	NA	NA
Lipid00340	PC(18:4_20:0)	C46H84NO8P	NA	NA
Lipid00341	PC(18:3_20:1)	C46H84NO8P	NA	NA
